index,x,y,z,B_x,B_y,B_z
4,98.2,192.75,-74.28,-0.430332,-0.70513,-1.505426
9,58.2,192.75,-74.28,-0.662516,-0.6975520000000001,-1.608406
14,18.2,192.75,-74.28,-0.879776,-0.639582,-1.7296779999999998
19,-21.799999999999997,192.75,-74.28,-1.16326,-0.47325,-1.8537299999999999
24,-61.8,192.75,-74.28,-1.448248,-0.0947242,-1.9878200000000001
29,-101.8,192.75,-74.28,-1.339294,0.1545842,-2.38584
34,-101.8,152.75,-74.28,-1.207008,0.1410918,-2.50552
39,-61.8,152.75,-74.28,-1.074574,-0.15071020000000002,-2.16476
44,-21.799999999999997,152.75,-74.28,-0.959026,-0.38038,-1.965682
49,18.2,152.75,-74.28,-0.7623979999999999,-0.51061,-1.820552
54,58.2,152.75,-74.28,-0.619862,-0.583072,-1.697846
59,98.2,152.75,-74.28,-0.43683,-0.6166159999999999,-1.591386
64,98.2,112.75,-74.28,-0.426708,-0.561856,-1.6648919999999998
69,58.2,112.75,-74.28,-0.55785,-0.515896,-1.76867
74,18.2,112.75,-74.28,-0.6614680000000001,-0.44415,-1.886666
79,-21.799999999999997,112.75,-74.28,-0.7623,-0.341502,-2.02516
84,-61.8,112.75,-74.28,-0.842678,-0.1686126,-2.19372
89,-101.8,112.75,-74.28,-0.857844,0.0261218,-2.3886
94,-141.8,112.75,-74.28,-0.7297560000000001,0.222398,-2.58712
4,-101.8,72.75,-74.28,-0.694584,-0.0985528,-2.32002
9,-101.8,32.75,-74.28,-0.6199859999999999,-0.229092,-2.27112
14,-101.8,-7.25,-74.28,-0.587142,-0.29846,-2.23962
19,-101.8,-47.25,-74.28,-0.59534,-0.34249,-2.21678
24,-101.8,-87.25,-74.28,-0.601166,-0.405968,-2.19952
29,-101.8,-127.25,-74.28,-0.6091840000000001,-0.474368,-2.18358
34,-101.8,-167.25,-74.28,-0.639432,-0.508716,-2.17892
39,-101.8,-207.25,-74.28,-0.6401060000000001,-0.584742,-2.17408
44,-101.8,-247.25,-74.28,-0.65191,-0.6872199999999999,-2.16858
49,-101.8,-287.25,-74.28,-0.648252,-0.90238,-2.15878
54,-101.8,-327.25,-74.28,-0.448616,-1.450084,-2.2108
59,-141.8,-327.25,-74.28,-0.7227020000000001,-0.959214,-2.13082
64,-141.8,-287.25,-74.28,-0.8716020000000001,-0.85613,-2.19106
69,-141.8,-247.25,-74.28,-0.852462,-0.735036,-2.2276
74,-141.8,-207.25,-74.28,-0.813934,-0.613834,-2.2571
79,-141.8,-167.25,-74.28,-0.762108,-0.540664,-2.2707
84,-141.8,-127.25,-74.28,-0.724174,-0.520654,-2.27996
89,-141.8,-87.25,-74.28,-0.6853819999999999,-0.447566,-2.2991200000000003
94,-141.8,-47.25,-74.28,-0.641152,-0.395122,-2.31888
99,-141.8,-7.25,-74.28,-0.619734,-0.29006,-2.3479
104,-141.8,32.75,-74.28,-0.61447,-0.16990539999999998,-2.3872
109,-141.8,72.75,-74.28,-0.633914,-0.0054562,-2.45462
0,-1.8000000000000007,32.75,-45.78,-0.476896,-0.377896,-2.03504
1,-1.8000000000000007,32.75,-5.779999999999973,-0.371318,-0.35457,-2.09416
2,-1.8000000000000007,32.75,34.22000000000003,-0.26628,-0.325922,-2.1416
3,-1.8000000000000007,32.75,74.22000000000003,-0.1475476,-0.29663,-2.1783
4,-1.8000000000000007,32.75,114.22000000000003,-0.0411784,-0.260594,-2.20326
5,-1.8000000000000007,-7.25,-45.78,-0.42819,-0.393932,-2.04922
6,-1.8000000000000007,-7.25,-5.779999999999973,-0.337424,-0.37434,-2.1133
7,-1.8000000000000007,-7.25,34.22000000000003,-0.243602,-0.34528400000000004,-2.16638
8,-1.8000000000000007,-7.25,74.22000000000003,-0.1439098,-0.315066,-2.20664
9,-1.8000000000000007,-7.25,114.22000000000003,-0.0419292,-0.277592,-2.2361
10,-1.8000000000000007,-47.25,-45.78,-0.384368,-0.4152,-2.06702
11,-1.8000000000000007,-47.25,-5.779999999999973,-0.311802,-0.393636,-2.1381
12,-1.8000000000000007,-47.25,34.22000000000003,-0.233832,-0.358906,-2.19658
13,-1.8000000000000007,-47.25,74.22000000000003,-0.13647720000000002,-0.324422,-2.2415
14,-1.8000000000000007,-47.25,114.22000000000003,-0.043208800000000006,-0.285084,-2.27268
15,-1.8000000000000007,-87.25,-45.78,-0.35375,-0.446754,-2.0846
16,-1.8000000000000007,-87.25,-5.779999999999973,-0.294066,-0.409738,-2.16998
17,-1.8000000000000007,-87.25,34.22000000000003,-0.223392,-0.371954,-2.23338
18,-1.8000000000000007,-87.25,74.22000000000003,-0.1302378,-0.328646,-2.28106
19,-1.8000000000000007,-87.25,114.22000000000003,-0.045573800000000005,-0.285238,-2.31272
20,-1.8000000000000007,-127.25,-45.78,-0.342482,-0.473566,-2.11498
21,-1.8000000000000007,-127.25,-5.779999999999973,-0.300526,-0.43175,-2.20706
22,-1.8000000000000007,-127.25,34.22000000000003,-0.239144,-0.385796,-2.2763400000000003
23,-1.8000000000000007,-127.25,74.22000000000003,-0.155824,-0.33814,-2.32648
24,-1.8000000000000007,-127.25,114.22000000000003,-0.0674224,-0.286346,-2.3584400000000003
25,-1.8000000000000007,-167.25,-45.78,-0.3354,-0.507636,-2.15586
26,-1.8000000000000007,-167.25,-5.779999999999973,-0.306802,-0.455472,-2.25462
27,-1.8000000000000007,-167.25,34.22000000000003,-0.257424,-0.401432,-2.32702
28,-1.8000000000000007,-167.25,74.22000000000003,-0.1807382,-0.340982,-2.3782400000000004
29,-1.8000000000000007,-167.25,114.22000000000003,-0.0969746,-0.283862,-2.40808
30,-1.8000000000000007,-327.25,-45.78,-0.7407199999999999,-0.699156,-2.49384
